x,y,z
507370.49,5259618.79,398
507492.57,5258863.41,373
511247.94,5262484.88,187
511584.8,5261566.33,56
510257.23,5258444.92,269
510795.13,5261948.71,45
512014.14,5265070.6,71
512952.2,5261617.38,147
507980.6,5264481.67,92
513086.64,5260403.36,189
511133.69,5261985.49,72
505544.25,5260292.68,137
506967.28,5265457.96,243
511371.53,5266467.56,116
511270.71,5261305.74,80
509003.37,5265258.33,68
507966.28,5263179.64,2
506606.17,5259401.3,317
510532.46,5265540.24,54
506194.33,5262751.6,63
514235.1,5265923.89,271
508853.06,5266036.87,252
505740.16,5260950.86,225
508299.01,5267346.92,561
514353.52,5258452.36,420
506194.19,5265143.35,83
509679.76,5267924.26,437
505148.92,5266524.41,120
506908.57,5263864.23,0
515218.67,5259369.72,424
510681.01,5258903.97,209
512828.26,5261556.78,186
508420.94,5267672.49,585
512900.96,5266694.93,0
515090.48,5267215.34,60
512810.53,5267086.2,14
513858.54,5261383.04,254
506822.03,5265557.76,271
506862.61,5260606.28,234
510757.47,5258738.57,273
512462.81,5259858.62,203
510006.52,5266958.32,391
508490.37,5258303.4,227
512097,5263391.25,354
508528.44,5262952.69,88
506042.85,5264621.29,1
506612.36,5263797.09,10
514669.41,5265760.45,318
507173.05,5268183.7,265
513090.08,5266716.16,0
505437.92,5263163.63,21
509851,5264899,18
508304.58,5263260.16,0
510680.38,5260331.39,144
505334.82,5265751.54,304
513624.5,5264046.62,564
509027.16,5268170.43,626
509310.45,5258808.71,210
506974.39,5266818.04,365
506199.89,5258915.79,166
511763.18,5261521.67,71
505460.21,5259466.44,183
512993.38,5261406.41,116
505236.09,5260821.07,127
508502.18,5267350.92,573
515039.82,5267397.7,10
509761.61,5266666.54,276
509419.99,5263260.05,8
510927.25,5264649.55,0
513871.65,5258958.76,494
511299.78,5268357.62,301
505271.66,5266720.75,107
512786.62,5261182.06,98
509445.21,5259661.71,225
508222.34,5267705.22,569
506819.32,5268151.73,227
514695.69,5260140.38,235
513721.13,5262365.51,198
514240.35,5262868.24,335
513284.41,5262039.31,185
505212.66,5261313.21,103
506737.27,5266504.68,318
506032.88,5267155.93,213
509922.86,5264024.65,26
513749.11,5266571.3,9
505841.87,5260368.95,168
513319.25,5264631.32,423
506769.08,5266379.69,337
505422.75,5266837.69,111
509506.23,5266032.52,280
514713.18,5258417.37,255
509910.44,5260109.88,184
514705.45,5267805.66,0
513257.82,5261652.51,178
509810.79,5260691.16,116
511526.59,5262033.23,171
512978.05,5266636.62,0
510175.7,5266933.28,338
506014.58,5266802.46,224
509216.8,5266941.09,341
514968.88,5267745.24,0
508801.91,5265435.14,122
513413.95,5267626.78,32
512022.22,5265261.59,45
508053.96,5263853.55,20
507371.75,5267893.44,430
514683.78,5265425.67,366
512721.17,5262601.7,264
508583.83,5260441.88,303
510704.38,5262530.6,113
513902.99,5259653.14,217
506638.02,5265899.8,402
508738.5,5264378.42,24
510777.83,5259072.17,233
506178.17,5265503.59,187
505780.73,5264967.59,122
510277.76,5264897.29,19
512941.06,5266095.1,39
511133.81,5262164.98,184
506376.54,5267581.77,336
509561.95,5264557.27,1
511740.43,5266226.72,4
513314.88,5265933.64,91
513970.88,5265395.6,165
511435.75,5265902.73,7
508679.3,5261655.56,160
510340.82,5268176.98,435
509862.84,5262859.13,34
513095.02,5261539.24,138
506297.13,5262718.32,69
512687.14,5265905.81,64
515152.88,5260616.94,447
506742.61,5259013.86,202
514670.61,5260074.12,228
513572.28,5265915.31,92
513745,5259958.91,213
505109.24,5264111.14,0
509130.51,5263509.55,1
510065.64,5261394.64,101
509992.32,5263912.98,35
507395.42,5263049.73,29
508026.38,5267035.19,532
506525.78,5264900.36,60
513533.15,5259156.23,520
513895.49,5262138.9,286
505926.61,5266268.61,220
515126.61,5267020.6,59
505900.1,5260829.89,244
515192.57,5263851.34,721
511317.88,5265484.34,3
511890.59,5262208.4,178
507501.36,5260247.07,322
512329.47,5258484.56,301
506819.16,5259030.28,225
513200.76,5258801.11,480
511589.14,5259918.64,135
507645.04,5265104.88,218
514782.37,5266457.67,209
514158.12,5263265.8,397
509084.36,5267615.23,411
510447.6,5268042.75,365
505624.28,5266235.37,258
514213.57,5261515.02,308
506868.32,5267968.74,313
507937.66,5263021.92,28
513717.81,5262089.87,203
509115.09,5264871.12,46
505070.51,5268248.86,131
512770.84,5261302.85,115
510913.14,5259735.24,219
514448.58,5260163.59,209
506528.18,5259613.22,324
509138.18,5267262.96,320
511494.47,5262586.82,214
510836.73,5265776.79,50
506930.88,5260197.28,272
514569.32,5263877.76,609
508499.64,5261458.35,150
507117.86,5261818.73,125
513659.73,5262711.04,303
506878.25,5263576.27,25
513977.09,5258811.11,553
510935.93,5262442.05,175
505584.51,5266016.09,346
512682.37,5267005.37,11
513898.48,5261259.8,246
510611.18,5262129.38,65
514425.16,5265831.46,352
